Date,Open,High,Low,Close,Volume
18/7/2023,7406.42,7459.15,7398.53,7453.69,364483578
19/7/2023,7453.69,7625.14,7453.69,7588.2,445371178
20/7/2023,7588.2,7661.87,7585.85,7646.05,586068278
21/7/2023,7646.05,7674.23,7639.45,7663.73,495848087
24/7/2023,7663.73,7684.97,7633.29,7678.59,453031146
25/7/2023,7678.59,7702.35,7676.5,7691.8,396028354
26/7/2023,7691.8,7702.74,7630,7676.89,397825539
27/7/2023,7676.89,7709.66,7662.4,7692.76,678223182
28/7/2023,7692.76,7716.82,7680.19,7694.27,616447953
31/7/2023,7694.27,7722.92,7667.81,7699.41,456959684
1/8/2023,7699.41,7715.24,7650.15,7666.27,581169229
2/8/2023,7666.27,7666.27,7522.24,7561.63,455330826
3/8/2023,7561.63,7562.13,7437.88,7529.16,677502940
4/8/2023,7529.16,7569.55,7487.36,7564.37,624002168
7/8/2023,7564.37,7564.95,7505.15,7554.49,491748918
8/8/2023,7554.49,7554.49,7487.47,7527.42,415127708
9/8/2023,7527.42,7600.79,7527.42,7587.3,492076562
10/8/2023,7587.3,7622.92,7572.61,7618.6,426922986
11/8/2023,7618.6,7618.6,7507.84,7524.16,385059860
14/8/2023,7524.16,7530.25,7476.45,7507.15,405051093
15/8/2023,7507.15,7508.58,7369.69,7389.64,353708167
16/8/2023,7389.64,7398.2,7338.53,7356.88,443255972
17/8/2023,7356.88,7356.96,7305,7310.21,427120178
18/8/2023,7310.21,7310.21,7215.76,7262.43,402761994
21/8/2023,7262.43,7315.97,7250.88,7257.82,526821373
22/8/2023,7257.82,7310.52,7257.58,7270.76,400992151
23/8/2023,7270.76,7348.84,7270.76,7320.53,406202080
24/8/2023,7320.53,7386.08,7320.53,7333.63,465592679
25/8/2023,7333.63,7389.4,7326.97,7338.58,366137308
29/8/2023,7338.58,7471.14,7338.58,7464.99,333194461
30/8/2023,7464.99,7509.36,7464.73,7473.67,498803963
31/8/2023,7473.67,7500.44,7439.13,7439.13,365326869
1/9/2023,7439.13,7492.63,7439.13,7464.54,1121001584
4/9/2023,7464.54,7523.4,7448.31,7452.76,385346752
5/9/2023,7452.76,7481.35,7389.8,7437.93,306981043
6/9/2023,7437.93,7447.94,7369.64,7426.14,377567305
7/9/2023,7426.14,7462.18,7385.92,7441.72,419519434
8/9/2023,7441.72,7480.64,7402.1,7478.19,406919315
11/9/2023,7478.19,7549.34,7467.35,7496.87,405346955
12/9/2023,7496.87,7550.24,7496.34,7527.53,508333296
13/9/2023,7527.53,7545.16,7490.37,7525.99,591388618
14/9/2023,7525.99,7686.96,7525.99,7673.08,584759887
15/9/2023,7673.08,7745.82,7673.08,7711.38,669692508
18/9/2023,7711.38,7720.14,7641.76,7652.94,1781747580
19/9/2023,7652.94,7682.38,7642.36,7660.2,391879531
20/9/2023,7660.2,7741.9,7659.61,7731.65,469108210
21/9/2023,7731.65,7746.53,7674.7,7678.62,618501820
22/9/2023,7678.62,7735.16,7640.8,7683.91,601722056
25/9/2023,7683.91,7684.82,7580.81,7623.99,838196287
26/9/2023,7623.99,7656.94,7593.54,7625.72,454477215
27/9/2023,7625.72,7645.55,7577.23,7593.22,493152276
28/9/2023,7593.22,7605.55,7524.11,7601.85,487634504
29/9/2023,7601.85,7674.19,7601.85,7608.08,560092391
2/10/2023,7608.08,7630.41,7491.3,7510.72,605872351
3/10/2023,7510.72,7545.67,7466.62,7470.16,477578643
4/10/2023,7470.16,7490.18,7384.2,7412.45,490703371
5/10/2023,7412.45,7488.6,7409.74,7451.54,582562768
6/10/2023,7451.54,7496.42,7423.36,7494.58,512904181
9/10/2023,7494.58,7540.57,7473.19,7492.21,455226223
10/10/2023,7492.21,7637.41,7492.21,7628.21,517280180
11/10/2023,7628.21,7651.98,7608.67,7620.03,473950485
12/10/2023,7620.03,7687.91,7620.03,7644.78,528697670
13/10/2023,7644.78,7660.05,7590.72,7599.6,536098811
16/10/2023,7599.6,7651.27,7584.64,7630.63,394738769
17/10/2023,7630.63,7682.63,7616.77,7675.21,463527876
18/10/2023,7675.21,7681.5,7579.26,7588,451550574
19/10/2023,7588,7588,7490.46,7499.53,556321095
20/10/2023,7499.53,7499.62,7395.57,7402.14,718783733
23/10/2023,7402.14,7402.2,7338.59,7374.83,474067267
24/10/2023,7374.83,7405.26,7324.99,7389.7,585099917
25/10/2023,7389.7,7428.11,7368.38,7414.34,515602557
26/10/2023,7414.34,7414.34,7342.48,7354.57,544326716
27/10/2023,7354.57,7380.33,7279.86,7291.28,565691904
30/10/2023,7291.28,7361.5,7291.28,7327.39,460778562
31/10/2023,7327.39,7373.53,7309.04,7321.72,612150977
1/11/2023,7321.72,7385.39,7304.89,7342.43,521602457
2/11/2023,7342.43,7469.75,7342.43,7446.53,665921723
3/11/2023,7446.53,7482.73,7396.57,7417.73,610091149
6/11/2023,7417.73,7448.36,7403.51,7417.76,418074435
7/11/2023,7417.76,7431.14,7397.4,7410.04,451412164
8/11/2023,7410.04,7442.09,7384.51,7401.72,552444556
9/11/2023,7401.72,7465.31,7367.21,7455.67,471335970
10/11/2023,7455.67,7455.67,7319.96,7360.55,402879361
13/11/2023,7360.55,7426.14,7360.55,7425.83,407561773
14/11/2023,7425.83,7456.63,7386.66,7440.47,598287500
15/11/2023,7440.47,7533.77,7440.47,7486.91,619983014
16/11/2023,7486.91,7492.84,7409.4,7410.97,465726430
17/11/2023,7410.97,7509,7410,7504.25,512820696
20/11/2023,7504.25,7506,7472.65,7496.36,369524972
21/11/2023,7496.36,7496.86,7446.68,7481.99,428013785
22/11/2023,7481.99,7504.51,7452,7469.51,520899190
23/11/2023,7469.51,7494.77,7450.6,7483.58,318416920
24/11/2023,7483.58,7494.72,7450.12,7488.2,345470464
27/11/2023,7488.2,7488.26,7452.18,7460.7,374839606
28/11/2023,7460.7,7461.13,7403.25,7455.24,496547209
29/11/2023,7455.24,7457.48,7408.79,7423.46,477797644
30/11/2023,7423.46,7497.68,7387.09,7453.75,1254796786
1/12/2023,7453.75,7538.71,7453.75,7529.35,499692564
4/12/2023,7529.35,7533.81,7476.85,7512.96,533479660
5/12/2023,7512.96,7512.96,7460.21,7489.84,488104392
6/12/2023,7489.84,7542.57,7486.8,7515.38,636832030
7/12/2023,7515.38,7523.57,7480.49,7513.72,515718182
8/12/2023,7513.72,7581.32,7509.83,7554.47,532080974
11/12/2023,7554.47,7557.4,7493.59,7544.89,480938089
12/12/2023,7544.89,7607.51,7542.37,7542.77,631315473
13/12/2023,7542.77,7584.88,7542.68,7548.44,628707197
14/12/2023,7548.44,7724.81,7548.44,7648.98,841004076
15/12/2023,7648.98,7668.22,7569,7576.36,1334948399
18/12/2023,7576.36,7630.57,7557.24,7614.48,452937832
19/12/2023,7614.48,7642.15,7605.35,7638.03,400806257
20/12/2023,7638.03,7762.88,7637.93,7715.68,538669863
21/12/2023,7715.68,7715.68,7668.41,7694.73,348424373
22/12/2023,7694.73,7715.21,7676.43,7697.51,216679964
27/12/2023,7697.51,7759.74,7697.51,7724.95,337842110
28/12/2023,7724.95,7745.99,7708.74,7722.74,269718124
29/12/2023,7722.74,7746.91,7719.02,7733.24,185807251
2/1/2024,7733.24,7764.37,7689.02,7721.52,378955026
3/1/2024,7721.52,7744.55,7650.3,7682.33,420329005
4/1/2024,7682.33,7728.17,7678.84,7723.07,484900453
5/1/2024,7723.07,7723.07,7642.86,7689.61,399553804
8/1/2024,7689.61,7694.19,7636.05,7694.19,399731824
9/1/2024,7694.19,7717.5,7675.07,7683.96,348657182
10/1/2024,7683.96,7683.96,7647.37,7651.76,409008919
11/1/2024,7651.76,7693.9,7576.59,7576.59,581677962
12/1/2024,7576.59,7655.19,7576.59,7624.93,493791654
15/1/2024,7624.93,7637.79,7578.33,7594.91,365112177
16/1/2024,7594.91,7594.91,7538.85,7558.34,467642268
17/1/2024,7558.34,7558.34,7404.08,7446.29,604031616
18/1/2024,7446.29,7471.66,7426.6,7459.09,543122212
19/1/2024,7459.09,7521.05,7450.86,7461.93,548939578
22/1/2024,7461.93,7503.61,7455.97,7487.71,431254523
23/1/2024,7487.71,7525.13,7465.12,7485.73,486870012
